Element,Data type,MinLength,MaxLength,Description,Example,Example in JSON,,,,Create file,Add description,Add specifications,Add example,Closing tag
SmartCard,Array of elements,N/A,N/A,Contains all the sub-elements and fields that define a smart card with an integrated chip that acts as a security token.,,"""SmartCard"": {
        ""Tag"": [
          ""string"",
          ""string""
        ],
        ""DataReadMethod"": ""1"",
        ""ContactlessSource"": ""Card""
      }",,,,"New-Item -Path . -Name ""SmartCard.md"" -ItemType ""file"" -Value ""# SmartCard"";Add-Content -Path "".\SmartCard.md"" -Value ""`n""","Add-Content -Path "".\SmartCard.md"" @""
Contains all the sub-elements and fields that define a smart card with an integrated chip that acts as a security token.
""@","Add-Content -Path "".\SmartCard.md"" -Value ""`n"";Add-Content -Path "".\SmartCard.md"" -Value ""## Specifications"";Add-Content -Path "".\SmartCard.md"" -Value ""`n"";Add-Content -Path "".\SmartCard.md"" -Value ""* Data type: Array of elements"";Add-Content -Path "".\SmartCard.md"" -Value ""`n"";Add-Content -Path "".\SmartCard.md"" -Value ""## Example"";Add-Content -Path "".\SmartCard.md"" -Value ""`n"";Add-Content -Path "".\SmartCard.md"" -Value ""`````` json""","Add-Content -Path "".\SmartCard.md"" @""
""SmartCard"": {
        ""Tag"": [
          ""string"",
          ""string""
        ],
        ""DataReadMethod"": ""1"",
        ""ContactlessSource"": ""Card""
      }
""@","Add-Content -Path "".\SmartCard.md"" -Value ""``````"""
SoftDescriptors,Array of elements,N/A,N/A,Contains all the sub-elements required to create soft-descriptor data. This element is supported only for the CNP industry.,,"""SoftDescriptors"": {
      ""MerchantName"": ""string"",
      ""MerchantPhone"": ""string"",
      ""MerchantState"": ""string""
    }",,,,"New-Item -Path . -Name ""SoftDescriptors.md"" -ItemType ""file"" -Value ""# SoftDescriptors"";Add-Content -Path "".\SoftDescriptors.md"" -Value ""`n""","Add-Content -Path "".\SoftDescriptors.md"" @""
Contains all the sub-elements required to create soft-descriptor data. This element is supported only for the CNP industry.
""@","Add-Content -Path "".\SoftDescriptors.md"" -Value ""`n"";Add-Content -Path "".\SoftDescriptors.md"" -Value ""## Specifications"";Add-Content -Path "".\SoftDescriptors.md"" -Value ""`n"";Add-Content -Path "".\SoftDescriptors.md"" -Value ""* Data type: Array of elements"";Add-Content -Path "".\SoftDescriptors.md"" -Value ""`n"";Add-Content -Path "".\SoftDescriptors.md"" -Value ""## Example"";Add-Content -Path "".\SoftDescriptors.md"" -Value ""`n"";Add-Content -Path "".\SoftDescriptors.md"" -Value ""`````` json""","Add-Content -Path "".\SoftDescriptors.md"" @""
""SoftDescriptors"": {
      ""MerchantName"": ""string"",
      ""MerchantPhone"": ""string"",
      ""MerchantState"": ""string""
    }
""@","Add-Content -Path "".\SoftDescriptors.md"" -Value ""``````"""
Source,Numeric,1,4,A client-specific authentication element that identifies a system or device.,<Source>2</Source>,"{
  ""Source"": ""2""
}",,,,"New-Item -Path . -Name ""Source.md"" -ItemType ""file"" -Value ""# Source"";Add-Content -Path "".\Source.md"" -Value ""`n""","Add-Content -Path "".\Source.md"" @""
A client-specific authentication element that identifies a system or device.
""@","Add-Content -Path "".\Source.md"" -Value ""`n"";Add-Content -Path "".\Source.md"" -Value ""## Specifications"";Add-Content -Path "".\Source.md"" -Value ""`n"";Add-Content -Path "".\Source.md"" -Value ""* Data type: Numeric"";Add-Content -Path "".\Source.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\Source.md"" -Value ""* Maximal length: 4"";Add-Content -Path "".\Source.md"" -Value ""`n"";Add-Content -Path "".\Source.md"" -Value ""## Example"";Add-Content -Path "".\Source.md"" -Value ""`n"";Add-Content -Path "".\Source.md"" -Value ""`````` json""","Add-Content -Path "".\Source.md"" @""
{
  ""Source"": ""2""
}
""@","Add-Content -Path "".\Source.md"" -Value ""``````"""
SourceInfo,Array of elements,N/A,N/A,Contains all the sub-elements used to define a source in the system.,,,,,,"New-Item -Path . -Name ""SourceInfo.md"" -ItemType ""file"" -Value ""# SourceInfo"";Add-Content -Path "".\SourceInfo.md"" -Value ""`n""","Add-Content -Path "".\SourceInfo.md"" @""
Contains all the sub-elements used to define a source in the system.
""@","Add-Content -Path "".\SourceInfo.md"" -Value ""`n"";Add-Content -Path "".\SourceInfo.md"" -Value ""## Specifications"";Add-Content -Path "".\SourceInfo.md"" -Value ""`n"";Add-Content -Path "".\SourceInfo.md"" -Value ""* Data type: Array of elements"";Add-Content -Path "".\SourceInfo.md"" -Value ""`n"";Add-Content -Path "".\SourceInfo.md"" -Value ""## Example"";Add-Content -Path "".\SourceInfo.md"" -Value ""`n"";Add-Content -Path "".\SourceInfo.md"" -Value ""`````` json""","Add-Content -Path "".\SourceInfo.md"" @""

""@","Add-Content -Path "".\SourceInfo.md"" -Value ""``````"""
Stan,Numeric,1,6,The system trace audit number that the system uses to match a Request to a Response during asynchronous message processing. The system adds the Stan element in the Response element when you include this element in the Request element.,<Stan>1</Stan>,"{
  ""Stan"": ""1""
}",,,,"New-Item -Path . -Name ""Stan.md"" -ItemType ""file"" -Value ""# Stan"";Add-Content -Path "".\Stan.md"" -Value ""`n""","Add-Content -Path "".\Stan.md"" @""
The system trace audit number that the system uses to match a Request to a Response during asynchronous message processing. The system adds the Stan element in the Response element when you include this element in the Request element.
""@","Add-Content -Path "".\Stan.md"" -Value ""`n"";Add-Content -Path "".\Stan.md"" -Value ""## Specifications"";Add-Content -Path "".\Stan.md"" -Value ""`n"";Add-Content -Path "".\Stan.md"" -Value ""* Data type: Numeric"";Add-Content -Path "".\Stan.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\Stan.md"" -Value ""* Maximal length: 6"";Add-Content -Path "".\Stan.md"" -Value ""`n"";Add-Content -Path "".\Stan.md"" -Value ""## Example"";Add-Content -Path "".\Stan.md"" -Value ""`n"";Add-Content -Path "".\Stan.md"" -Value ""`````` json""","Add-Content -Path "".\Stan.md"" @""
{
  ""Stan"": ""1""
}
""@","Add-Content -Path "".\Stan.md"" -Value ""``````"""
StartDate,Date,10,10,"The date of the first recurring transaction. This element also specifies the date when the system will bill the future transactions.

The value of this element is in DDMMYYYY format.

To configure a monthly recurring transaction, set RecurFrequency to 1 and RecurPeriod to Monthly. If the StartDate is set to 11172023, then the system processes the first transaction on 11/17/2023. The system will process the following transactions on 12/17/2023, 01/17/2024, 02/17/2024, and so on.",<StartDate>11172023</StartDate>,"{
  ""StartDate"": ""11172023""
}",,,,"New-Item -Path . -Name ""StartDate.md"" -ItemType ""file"" -Value ""# StartDate"";Add-Content -Path "".\StartDate.md"" -Value ""`n""","Add-Content -Path "".\StartDate.md"" @""
The date of the first recurring transaction. This element also specifies the date when the system will bill the future transactions.

The value of this element is in DDMMYYYY format.

To configure a monthly recurring transaction, set RecurFrequency to 1 and RecurPeriod to Monthly. If the StartDate is set to 11172023, then the system processes the first transaction on 11/17/2023. The system will process the following transactions on 12/17/2023, 01/17/2024, 02/17/2024, and so on.
""@","Add-Content -Path "".\StartDate.md"" -Value ""`n"";Add-Content -Path "".\StartDate.md"" -Value ""## Specifications"";Add-Content -Path "".\StartDate.md"" -Value ""`n"";Add-Content -Path "".\StartDate.md"" -Value ""* Data type: Date"";Add-Content -Path "".\StartDate.md"" -Value ""* Minimal length: 10"";Add-Content -Path "".\StartDate.md"" -Value ""* Maximal length: 10"";Add-Content -Path "".\StartDate.md"" -Value ""`n"";Add-Content -Path "".\StartDate.md"" -Value ""## Example"";Add-Content -Path "".\StartDate.md"" -Value ""`n"";Add-Content -Path "".\StartDate.md"" -Value ""`````` json""","Add-Content -Path "".\StartDate.md"" @""
{
  ""StartDate"": ""11172023""
}
""@","Add-Content -Path "".\StartDate.md"" -Value ""``````"""
StayDuration,Integer,,,The duration of stay. You can use this element when the Industry is set to Hotel.,,,,,,"New-Item -Path . -Name ""StayDuration.md"" -ItemType ""file"" -Value ""# StayDuration"";Add-Content -Path "".\StayDuration.md"" -Value ""`n""","Add-Content -Path "".\StayDuration.md"" @""
The duration of stay. You can use this element when the Industry is set to Hotel.
""@","Add-Content -Path "".\StayDuration.md"" -Value ""`n"";Add-Content -Path "".\StayDuration.md"" -Value ""## Specifications"";Add-Content -Path "".\StayDuration.md"" -Value ""`n"";Add-Content -Path "".\StayDuration.md"" -Value ""* Data type: Integer"";Add-Content -Path "".\StayDuration.md"" -Value ""* Minimal length: "";Add-Content -Path "".\StayDuration.md"" -Value ""* Maximal length: "";Add-Content -Path "".\StayDuration.md"" -Value ""`n"";Add-Content -Path "".\StayDuration.md"" -Value ""## Example"";Add-Content -Path "".\StayDuration.md"" -Value ""`n"";Add-Content -Path "".\StayDuration.md"" -Value ""`````` json""","Add-Content -Path "".\StayDuration.md"" @""

""@","Add-Content -Path "".\StayDuration.md"" -Value ""``````"""
StopAmount,Currency,3,12,"The total amount after which the system stops processing a recurring transaction. You must use a decimal point to separate the integer part from the fractional part of a number.

If you don't specify StopAmount, StopDate, or StopCount, the system processes transactions until you delete the recurring transaction record from the system.",<StopAmount>99.00</StopAmount>,"{
  ""StopAmount"": ""99.00""
}",,,,"New-Item -Path . -Name ""StopAmount.md"" -ItemType ""file"" -Value ""# StopAmount"";Add-Content -Path "".\StopAmount.md"" -Value ""`n""","Add-Content -Path "".\StopAmount.md"" @""
The total amount after which the system stops processing a recurring transaction. You must use a decimal point to separate the integer part from the fractional part of a number.

If you don't specify StopAmount, StopDate, or StopCount, the system processes transactions until you delete the recurring transaction record from the system.
""@","Add-Content -Path "".\StopAmount.md"" -Value ""`n"";Add-Content -Path "".\StopAmount.md"" -Value ""## Specifications"";Add-Content -Path "".\StopAmount.md"" -Value ""`n"";Add-Content -Path "".\StopAmount.md"" -Value ""* Data type: Currency"";Add-Content -Path "".\StopAmount.md"" -Value ""* Minimal length: 3"";Add-Content -Path "".\StopAmount.md"" -Value ""* Maximal length: 12"";Add-Content -Path "".\StopAmount.md"" -Value ""`n"";Add-Content -Path "".\StopAmount.md"" -Value ""## Example"";Add-Content -Path "".\StopAmount.md"" -Value ""`n"";Add-Content -Path "".\StopAmount.md"" -Value ""`````` json""","Add-Content -Path "".\StopAmount.md"" @""
{
  ""StopAmount"": ""99.00""
}
""@","Add-Content -Path "".\StopAmount.md"" -Value ""``````"""
StopCount,Numeric,1,4,"The total number of transactions after which the system stops processing a recurring transaction.

If you don't specify StopAmount, StopDate, or StopCount, the system processes transactions until you delete the recurring transaction record from the system.",<StopCount>3</StopCount>,"{
  ""StopCount"": ""3""
}",,,,"New-Item -Path . -Name ""StopCount.md"" -ItemType ""file"" -Value ""# StopCount"";Add-Content -Path "".\StopCount.md"" -Value ""`n""","Add-Content -Path "".\StopCount.md"" @""
The total number of transactions after which the system stops processing a recurring transaction.

If you don't specify StopAmount, StopDate, or StopCount, the system processes transactions until you delete the recurring transaction record from the system.
""@","Add-Content -Path "".\StopCount.md"" -Value ""`n"";Add-Content -Path "".\StopCount.md"" -Value ""## Specifications"";Add-Content -Path "".\StopCount.md"" -Value ""`n"";Add-Content -Path "".\StopCount.md"" -Value ""* Data type: Numeric"";Add-Content -Path "".\StopCount.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\StopCount.md"" -Value ""* Maximal length: 4"";Add-Content -Path "".\StopCount.md"" -Value ""`n"";Add-Content -Path "".\StopCount.md"" -Value ""## Example"";Add-Content -Path "".\StopCount.md"" -Value ""`n"";Add-Content -Path "".\StopCount.md"" -Value ""`````` json""","Add-Content -Path "".\StopCount.md"" @""
{
  ""StopCount"": ""3""
}
""@","Add-Content -Path "".\StopCount.md"" -Value ""``````"""
StopDate,Date,10,10,"The date when the system stops processing a recurring transaction.

The value of this element is in DDMMYYYY format.

If you don't specify StopAmount, StopDate, or StopCount, the system processes transactions until you delete the recurring transaction record from the system.",<StopDate>12312027</StopDate>,"{
  ""StopDate"": ""12312027""
}",,,,"New-Item -Path . -Name ""StopDate.md"" -ItemType ""file"" -Value ""# StopDate"";Add-Content -Path "".\StopDate.md"" -Value ""`n""","Add-Content -Path "".\StopDate.md"" @""
The date when the system stops processing a recurring transaction.

The value of this element is in DDMMYYYY format.

If you don't specify StopAmount, StopDate, or StopCount, the system processes transactions until you delete the recurring transaction record from the system.
""@","Add-Content -Path "".\StopDate.md"" -Value ""`n"";Add-Content -Path "".\StopDate.md"" -Value ""## Specifications"";Add-Content -Path "".\StopDate.md"" -Value ""`n"";Add-Content -Path "".\StopDate.md"" -Value ""* Data type: Date"";Add-Content -Path "".\StopDate.md"" -Value ""* Minimal length: 10"";Add-Content -Path "".\StopDate.md"" -Value ""* Maximal length: 10"";Add-Content -Path "".\StopDate.md"" -Value ""`n"";Add-Content -Path "".\StopDate.md"" -Value ""## Example"";Add-Content -Path "".\StopDate.md"" -Value ""`n"";Add-Content -Path "".\StopDate.md"" -Value ""`````` json""","Add-Content -Path "".\StopDate.md"" @""
{
  ""StopDate"": ""12312027""
}
""@","Add-Content -Path "".\StopDate.md"" -Value ""``````"""
StorageSafe,Array of elements,N/A,N/A,Contains all the sub-elements that define a StorageSafe record in the system.,,"""StorageSafe"": {
      ""Guid"": ""string""
    }",,,,"New-Item -Path . -Name ""StorageSafe.md"" -ItemType ""file"" -Value ""# StorageSafe"";Add-Content -Path "".\StorageSafe.md"" -Value ""`n""","Add-Content -Path "".\StorageSafe.md"" @""
Contains all the sub-elements that define a StorageSafe record in the system.
""@","Add-Content -Path "".\StorageSafe.md"" -Value ""`n"";Add-Content -Path "".\StorageSafe.md"" -Value ""## Specifications"";Add-Content -Path "".\StorageSafe.md"" -Value ""`n"";Add-Content -Path "".\StorageSafe.md"" -Value ""* Data type: Array of elements"";Add-Content -Path "".\StorageSafe.md"" -Value ""`n"";Add-Content -Path "".\StorageSafe.md"" -Value ""## Example"";Add-Content -Path "".\StorageSafe.md"" -Value ""`n"";Add-Content -Path "".\StorageSafe.md"" -Value ""`````` json""","Add-Content -Path "".\StorageSafe.md"" @""
""StorageSafe"": {
      ""Guid"": ""string""
    }
""@","Add-Content -Path "".\StorageSafe.md"" -Value ""``````"""
StoreAndForward,Boolean,,,An indicator of support of store and forward (SAF) credit card transactions that are taken while a device is operating in poor network conditions or is completely offline.,,,,,,"New-Item -Path . -Name ""StoreAndForward.md"" -ItemType ""file"" -Value ""# StoreAndForward"";Add-Content -Path "".\StoreAndForward.md"" -Value ""`n""","Add-Content -Path "".\StoreAndForward.md"" @""
An indicator of support of store and forward (SAF) credit card transactions that are taken while a device is operating in poor network conditions or is completely offline.
""@","Add-Content -Path "".\StoreAndForward.md"" -Value ""`n"";Add-Content -Path "".\StoreAndForward.md"" -Value ""## Specifications"";Add-Content -Path "".\StoreAndForward.md"" -Value ""`n"";Add-Content -Path "".\StoreAndForward.md"" -Value ""* Data type: Boolean"";Add-Content -Path "".\StoreAndForward.md"" -Value ""* Minimal length: "";Add-Content -Path "".\StoreAndForward.md"" -Value ""* Maximal length: "";Add-Content -Path "".\StoreAndForward.md"" -Value ""`n"";Add-Content -Path "".\StoreAndForward.md"" -Value ""## Example"";Add-Content -Path "".\StoreAndForward.md"" -Value ""`n"";Add-Content -Path "".\StoreAndForward.md"" -Value ""`````` json""","Add-Content -Path "".\StoreAndForward.md"" @""

""@","Add-Content -Path "".\StoreAndForward.md"" -Value ""``````"""
System,Array of elements,N/A,N/A,Contains undefined elements for system processing.,,N/A,,,,"New-Item -Path . -Name ""System.md"" -ItemType ""file"" -Value ""# System"";Add-Content -Path "".\System.md"" -Value ""`n""","Add-Content -Path "".\System.md"" @""
Contains undefined elements for system processing.
""@","Add-Content -Path "".\System.md"" -Value ""`n"";Add-Content -Path "".\System.md"" -Value ""## Specifications"";Add-Content -Path "".\System.md"" -Value ""`n"";Add-Content -Path "".\System.md"" -Value ""* Data type: Array of elements"";Add-Content -Path "".\System.md"" -Value ""`n"";Add-Content -Path "".\System.md"" -Value ""## Example"";Add-Content -Path "".\System.md"" -Value ""`n"";Add-Content -Path "".\System.md"" -Value ""`````` json""","Add-Content -Path "".\System.md"" @""
N/A
""@","Add-Content -Path "".\System.md"" -Value ""``````"""
Tag,Array of elements,2,38,Contains information about the smart card.,,"""Tag"": [
          ""string"",
          ""string""
        ]",,,,"New-Item -Path . -Name ""Tag.md"" -ItemType ""file"" -Value ""# Tag"";Add-Content -Path "".\Tag.md"" -Value ""`n""","Add-Content -Path "".\Tag.md"" @""
Contains information about the smart card.
""@","Add-Content -Path "".\Tag.md"" -Value ""`n"";Add-Content -Path "".\Tag.md"" -Value ""## Specifications"";Add-Content -Path "".\Tag.md"" -Value ""`n"";Add-Content -Path "".\Tag.md"" -Value ""* Data type: Array of elements"";Add-Content -Path "".\Tag.md"" -Value ""`n"";Add-Content -Path "".\Tag.md"" -Value ""## Example"";Add-Content -Path "".\Tag.md"" -Value ""`n"";Add-Content -Path "".\Tag.md"" -Value ""`````` json""","Add-Content -Path "".\Tag.md"" @""
""Tag"": [
          ""string"",
          ""string""
        ]
""@","Add-Content -Path "".\Tag.md"" -Value ""``````"""
Template,Array of elements,N/A,N/A,The transaction template which is based on the globally unique identifier that the Transaction Services system assigns for all transactions.,,"""Template"": {
      ""Guid"": ""string""
    }",,,,"New-Item -Path . -Name ""Template.md"" -ItemType ""file"" -Value ""# Template"";Add-Content -Path "".\Template.md"" -Value ""`n""","Add-Content -Path "".\Template.md"" @""
The transaction template which is based on the globally unique identifier that the Transaction Services system assigns for all transactions.
""@","Add-Content -Path "".\Template.md"" -Value ""`n"";Add-Content -Path "".\Template.md"" -Value ""## Specifications"";Add-Content -Path "".\Template.md"" -Value ""`n"";Add-Content -Path "".\Template.md"" -Value ""* Data type: Array of elements"";Add-Content -Path "".\Template.md"" -Value ""`n"";Add-Content -Path "".\Template.md"" -Value ""## Example"";Add-Content -Path "".\Template.md"" -Value ""`n"";Add-Content -Path "".\Template.md"" -Value ""`````` json""","Add-Content -Path "".\Template.md"" @""
""Template"": {
      ""Guid"": ""string""
    }
""@","Add-Content -Path "".\Template.md"" -Value ""``````"""
TerminalId,Integer,,,An identifier that the merchant assigns to the location of the sale.,,,,,,"New-Item -Path . -Name ""TerminalId.md"" -ItemType ""file"" -Value ""# TerminalId"";Add-Content -Path "".\TerminalId.md"" -Value ""`n""","Add-Content -Path "".\TerminalId.md"" @""
An identifier that the merchant assigns to the location of the sale.
""@","Add-Content -Path "".\TerminalId.md"" -Value ""`n"";Add-Content -Path "".\TerminalId.md"" -Value ""## Specifications"";Add-Content -Path "".\TerminalId.md"" -Value ""`n"";Add-Content -Path "".\TerminalId.md"" -Value ""* Data type: Integer"";Add-Content -Path "".\TerminalId.md"" -Value ""* Minimal length: "";Add-Content -Path "".\TerminalId.md"" -Value ""* Maximal length: "";Add-Content -Path "".\TerminalId.md"" -Value ""`n"";Add-Content -Path "".\TerminalId.md"" -Value ""## Example"";Add-Content -Path "".\TerminalId.md"" -Value ""`n"";Add-Content -Path "".\TerminalId.md"" -Value ""`````` json""","Add-Content -Path "".\TerminalId.md"" @""

""@","Add-Content -Path "".\TerminalId.md"" -Value ""``````"""
TimeZone,String,,,"The time zone abbreviation. For more information, see https://en.wikipedia.org/wiki/List_of_time_zone_abbreviations",,"{
  ""TimeZone"": ""CT""
}",,,,"New-Item -Path . -Name ""TimeZone.md"" -ItemType ""file"" -Value ""# TimeZone"";Add-Content -Path "".\TimeZone.md"" -Value ""`n""","Add-Content -Path "".\TimeZone.md"" @""
The time zone abbreviation. For more information, see https://en.wikipedia.org/wiki/List_of_time_zone_abbreviations
""@","Add-Content -Path "".\TimeZone.md"" -Value ""`n"";Add-Content -Path "".\TimeZone.md"" -Value ""## Specifications"";Add-Content -Path "".\TimeZone.md"" -Value ""`n"";Add-Content -Path "".\TimeZone.md"" -Value ""* Data type: String"";Add-Content -Path "".\TimeZone.md"" -Value ""* Minimal length: "";Add-Content -Path "".\TimeZone.md"" -Value ""* Maximal length: "";Add-Content -Path "".\TimeZone.md"" -Value ""`n"";Add-Content -Path "".\TimeZone.md"" -Value ""## Example"";Add-Content -Path "".\TimeZone.md"" -Value ""`n"";Add-Content -Path "".\TimeZone.md"" -Value ""`````` json""","Add-Content -Path "".\TimeZone.md"" @""
{
  ""TimeZone"": ""CT""
}
""@","Add-Content -Path "".\TimeZone.md"" -Value ""``````"""
TipAmount,Currency,3,12,The tip amount that the merchant received. You must use a decimal point to separate the integer part from the fractional part of a number.,<TipAmount>5.62</TipAmount>,"{
  ""TipAmount"": ""5.62""
}",,,,"New-Item -Path . -Name ""TipAmount.md"" -ItemType ""file"" -Value ""# TipAmount"";Add-Content -Path "".\TipAmount.md"" -Value ""`n""","Add-Content -Path "".\TipAmount.md"" @""
The tip amount that the merchant received. You must use a decimal point to separate the integer part from the fractional part of a number.
""@","Add-Content -Path "".\TipAmount.md"" -Value ""`n"";Add-Content -Path "".\TipAmount.md"" -Value ""## Specifications"";Add-Content -Path "".\TipAmount.md"" -Value ""`n"";Add-Content -Path "".\TipAmount.md"" -Value ""* Data type: Currency"";Add-Content -Path "".\TipAmount.md"" -Value ""* Minimal length: 3"";Add-Content -Path "".\TipAmount.md"" -Value ""* Maximal length: 12"";Add-Content -Path "".\TipAmount.md"" -Value ""`n"";Add-Content -Path "".\TipAmount.md"" -Value ""## Example"";Add-Content -Path "".\TipAmount.md"" -Value ""`n"";Add-Content -Path "".\TipAmount.md"" -Value ""`````` json""","Add-Content -Path "".\TipAmount.md"" @""
{
  ""TipAmount"": ""5.62""
}
""@","Add-Content -Path "".\TipAmount.md"" -Value ""``````"""
Token,String,,,The authentication token.,,,,,,"New-Item -Path . -Name ""Token.md"" -ItemType ""file"" -Value ""# Token"";Add-Content -Path "".\Token.md"" -Value ""`n""","Add-Content -Path "".\Token.md"" @""
The authentication token.
""@","Add-Content -Path "".\Token.md"" -Value ""`n"";Add-Content -Path "".\Token.md"" -Value ""## Specifications"";Add-Content -Path "".\Token.md"" -Value ""`n"";Add-Content -Path "".\Token.md"" -Value ""* Data type: String"";Add-Content -Path "".\Token.md"" -Value ""* Minimal length: "";Add-Content -Path "".\Token.md"" -Value ""* Maximal length: "";Add-Content -Path "".\Token.md"" -Value ""`n"";Add-Content -Path "".\Token.md"" -Value ""## Example"";Add-Content -Path "".\Token.md"" -Value ""`n"";Add-Content -Path "".\Token.md"" -Value ""`````` json""","Add-Content -Path "".\Token.md"" @""

""@","Add-Content -Path "".\Token.md"" -Value ""``````"""
TokenSource,String,,,"The source of the authentication token. Possible values are Apple, Google, and TrxServices.",,,,,,"New-Item -Path . -Name ""TokenSource.md"" -ItemType ""file"" -Value ""# TokenSource"";Add-Content -Path "".\TokenSource.md"" -Value ""`n""","Add-Content -Path "".\TokenSource.md"" @""
The source of the authentication token. Possible values are Apple, Google, and TrxServices.
""@","Add-Content -Path "".\TokenSource.md"" -Value ""`n"";Add-Content -Path "".\TokenSource.md"" -Value ""## Specifications"";Add-Content -Path "".\TokenSource.md"" -Value ""`n"";Add-Content -Path "".\TokenSource.md"" -Value ""* Data type: String"";Add-Content -Path "".\TokenSource.md"" -Value ""* Minimal length: "";Add-Content -Path "".\TokenSource.md"" -Value ""* Maximal length: "";Add-Content -Path "".\TokenSource.md"" -Value ""`n"";Add-Content -Path "".\TokenSource.md"" -Value ""## Example"";Add-Content -Path "".\TokenSource.md"" -Value ""`n"";Add-Content -Path "".\TokenSource.md"" -Value ""`````` json""","Add-Content -Path "".\TokenSource.md"" @""

""@","Add-Content -Path "".\TokenSource.md"" -Value ""``````"""
TotalAmount,Currency,3,12,The total amount of all credit and debit transactions within a batch. You must use a decimal point to separate the integer part from the fractional part of a number.,<TotalAmount>65.00</TotalAmount>,"{
  ""TotalAmount"": ""65.00""
}",,,,"New-Item -Path . -Name ""TotalAmount.md"" -ItemType ""file"" -Value ""# TotalAmount"";Add-Content -Path "".\TotalAmount.md"" -Value ""`n""","Add-Content -Path "".\TotalAmount.md"" @""
The total amount of all credit and debit transactions within a batch. You must use a decimal point to separate the integer part from the fractional part of a number.
""@","Add-Content -Path "".\TotalAmount.md"" -Value ""`n"";Add-Content -Path "".\TotalAmount.md"" -Value ""## Specifications"";Add-Content -Path "".\TotalAmount.md"" -Value ""`n"";Add-Content -Path "".\TotalAmount.md"" -Value ""* Data type: Currency"";Add-Content -Path "".\TotalAmount.md"" -Value ""* Minimal length: 3"";Add-Content -Path "".\TotalAmount.md"" -Value ""* Maximal length: 12"";Add-Content -Path "".\TotalAmount.md"" -Value ""`n"";Add-Content -Path "".\TotalAmount.md"" -Value ""## Example"";Add-Content -Path "".\TotalAmount.md"" -Value ""`n"";Add-Content -Path "".\TotalAmount.md"" -Value ""`````` json""","Add-Content -Path "".\TotalAmount.md"" @""
{
  ""TotalAmount"": ""65.00""
}
""@","Add-Content -Path "".\TotalAmount.md"" -Value ""``````"""
TotalCount,Numeric,1,6,The total number of all credit and debit transactions within a batch.,<TotalCount>854</TotalCount>,"{
  ""TotalCount"": ""854""
}",,,,"New-Item -Path . -Name ""TotalCount.md"" -ItemType ""file"" -Value ""# TotalCount"";Add-Content -Path "".\TotalCount.md"" -Value ""`n""","Add-Content -Path "".\TotalCount.md"" @""
The total number of all credit and debit transactions within a batch.
""@","Add-Content -Path "".\TotalCount.md"" -Value ""`n"";Add-Content -Path "".\TotalCount.md"" -Value ""## Specifications"";Add-Content -Path "".\TotalCount.md"" -Value ""`n"";Add-Content -Path "".\TotalCount.md"" -Value ""* Data type: Numeric"";Add-Content -Path "".\TotalCount.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\TotalCount.md"" -Value ""* Maximal length: 6"";Add-Content -Path "".\TotalCount.md"" -Value ""`n"";Add-Content -Path "".\TotalCount.md"" -Value ""## Example"";Add-Content -Path "".\TotalCount.md"" -Value ""`n"";Add-Content -Path "".\TotalCount.md"" -Value ""`````` json""","Add-Content -Path "".\TotalCount.md"" @""
{
  ""TotalCount"": ""854""
}
""@","Add-Content -Path "".\TotalCount.md"" -Value ""``````"""
Track1Data,Alphanumeric,17,76,"Data read from Track 1 of the magnetic stripe on a credit or debit card. You must delete the start, end, and lrc sentinels. According to the regulations, you can't store this data.",<Track1Data>123123123</Track1Data>,"{
  ""Track1Data"": ""123123123""
}",,,,"New-Item -Path . -Name ""Track1Data.md"" -ItemType ""file"" -Value ""# Track1Data"";Add-Content -Path "".\Track1Data.md"" -Value ""`n""","Add-Content -Path "".\Track1Data.md"" @""
Data read from Track 1 of the magnetic stripe on a credit or debit card. You must delete the start, end, and lrc sentinels. According to the regulations, you can't store this data.
""@","Add-Content -Path "".\Track1Data.md"" -Value ""`n"";Add-Content -Path "".\Track1Data.md"" -Value ""## Specifications"";Add-Content -Path "".\Track1Data.md"" -Value ""`n"";Add-Content -Path "".\Track1Data.md"" -Value ""* Data type: Alphanumeric"";Add-Content -Path "".\Track1Data.md"" -Value ""* Minimal length: 17"";Add-Content -Path "".\Track1Data.md"" -Value ""* Maximal length: 76"";Add-Content -Path "".\Track1Data.md"" -Value ""`n"";Add-Content -Path "".\Track1Data.md"" -Value ""## Example"";Add-Content -Path "".\Track1Data.md"" -Value ""`n"";Add-Content -Path "".\Track1Data.md"" -Value ""`````` json""","Add-Content -Path "".\Track1Data.md"" @""
{
  ""Track1Data"": ""123123123""
}
""@","Add-Content -Path "".\Track1Data.md"" -Value ""``````"""
